"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"June 10, 2017",2017,"Jun",1,"",1,"","",1,"","Drowning","Central Mediterranean","34.486805385946"," 13.261527593750"
"June 09, 2017",2017,"Jun",1,"",1,"","",1,1,"Drowning","Western Mediterranean","36.746391700000"," -2.171041200000"
"June 09, 2017",2017,"Jun",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.953579900000"," -1.902940500000"
"June 09, 2017",2017,"Jun",1,"",1,"","",1,"","Shot","Central Mediterranean","32.876842900000"," 13.102032700000"
"June 04, 2017",2017,"Jun",19,"",19,"",9,8,2,"Drowning","Central Mediterranean","33.517125500000"," 11.116372300000"
"June 04, 2017",2017,"Jun",2,"",2,"","",2,"","Drowning","Central Mediterranean","33.881101000000"," 10.865818700000"
"June 03, 2017",2017,"Jun",4,"",4,125,1,"","","Unknown","Central Mediterranean","36.638348938120"," 13.129158695313"
"May 31, 2017",2017,"May",13,"",13,"","","","","Unknown","Central Mediterranean","34.019057135487"," 10.049736548828"
"May 29, 2017",2017,"May",10,10,20,"",2,8,"","Drowning","Central Mediterranean","34.379009200000"," 15.248850400000"
"May 29, 2017",2017,"May","",10,10,"","","","","Unknown","Central Mediterranean","34.399956108775"," 13.888487250000"
"May 27, 2017",2017,"May",2,18,20,"","","",1,"Drowning","Central Mediterranean","33.234863910000"," 12.467038290000"
"May 27, 2017",2017,"May",33,24,57,"",13,"",7,"Drowning","Central Mediterranean","34.496800300000"," 14.820383600000"
"May 27, 2017",2017,"May",1,"",1,126,"","","","Unknown","Central Mediterranean","36.016398100000"," 11.338208100000"
"May 27, 2017",2017,"May",7,"",7,"","","","","Drowning","Central Mediterranean","33.477195290000"," 13.025560940000"
"May 26, 2017",2017,"May",1,"",1,"",1,"","","Drowning","Central Mediterranean","32.795371000000"," 12.566804000000"
"May 26, 2017",2017,"May","",82,82,"","","","","Drowning","Central Mediterranean","34.114134523922"," 13.011378990625"
"May 26, 2017",2017,"May",1,"",1,"","","","","Unknown","Central Mediterranean","35.265509900000"," 13.259102500000"
"May 25, 2017",2017,"May",2,"",2,"","","","","Unknown","Central Mediterranean","34.404699358622"," 13.198146568750"
